kabupaten_kota;tahun;komoditas;produksi;luas_panen;produktivitas;
Way Kanan;2022;Kacang Tamnah;122.3814035;74;16.5380275;
Way Kanan;2022;Kedelai;762.9144077;495.4;15.39996786;
Way Kanan;2022;Padi;100985.27;21224.06;47.58056187;
Way Kanan;2022;Padi Ladang;0;0;0;
Way Kanan;2022;Padi Sawah;0;0;0;
Way Kanan;2022;Ubijalar;557.6187832;30;185.8729277;
Way Kanan;2022;Ubikayu / Ketela Pohon;385968.2477;16020;240.9289935;
Way Kanan;2023;Jagung;0;0;0;
Way Kanan;2023;Kacang Hijau;0;0;0;
Way Kanan;2023;Kacang Tamnah;0;0;0;
Way Kanan;2023;Kedelai;0;0;0;
Way Kanan;2023;Padi;84631.42;18720.83;45.20708751;
Way Kanan;2023;Padi Ladang;0;0;0;
Way Kanan;2023;Padi Sawah;0;0;0;
