komoditas,tanggal,harga pangan
Beras,01/01/2018,-
Daging Ayam,01/01/2018,-
Daging Sapi,01/01/2018,-
Telur Ayam,01/01/2018,-
Bawang Merah,01/01/2018,-
Bawang Putih,01/01/2018,-
Cabai Merah Besar,01/01/2018,-
Cabai Merah Keriting,01/01/2018,-
Cabai Rawit Hijau,01/01/2018,-
Cabai Rawit Merah,01/01/2018,-
Minyak Goreng,01/01/2018,-
Gula Pasir,01/01/2018,-
"Beras,27/02/2018,""12,150"""
"Daging Ayam,27/02/2018,""29,050"""
"Daging Sapi,27/02/2018,""110,000"""
"Telur Ayam,27/02/2018,""21,550"""
"Bawang Merah,27/02/2018,""22,750"""
"Bawang Putih,27/02/2018,""31,150"""
"Cabai Merah Besar,27/02/2018,""45,900"""
"Cabai Merah Keriting,27/02/2018,""33,250"""
"Cabai Rawit Hijau,27/02/2018,""31,500"""
"Cabai Rawit Merah,27/02/2018,""44,500"""
"Minyak Goreng,27/02/2018,""13,100"""
"Gula Pasir,27/02/2018,""12,600"""
"Beras,28/02/2018,""12,150"""
"Daging Ayam,28/02/2018,""29,050"""
"Daging Sapi,28/02/2018,""110,000"""
"Telur Ayam,28/02/2018,""21,550"""
"Bawang Merah,28/02/2018,""22,500"""
"Bawang Putih,28/02/2018,""31,150"""
"Cabai Merah Besar,28/02/2018,""44,500"""
"Cabai Merah Keriting,28/02/2018,""33,750"""
"Cabai Rawit Hijau,28/02/2018,""30,900"""
"Cabai Rawit Merah,28/02/2018,""44,500"""
"Minyak Goreng,28/02/2018,""13,100"""
"Gula Pasir,28/02/2018,""12,600"""
"Beras,01/03/2018,""12,150"""
"Daging Ayam,01/03/2018,""29,050"""
"Daging Sapi,01/03/2018,""110,000"""
"Telur Ayam,01/03/2018,""21,550"""
"Bawang Merah,01/03/2018,""22,500"""
"Bawang Putih,01/03/2018,""31,150"""
"Cabai Merah Besar,01/03/2018,""46,650"""
"Cabai Merah Keriting,01/03/2018,""35,150"""
"Cabai Rawit Hijau,01/03/2018,""31,750"""
"Cabai Rawit Merah,01/03/2018,""44,500"""
"Minyak Goreng,01/03/2018,""13,100"""
"Gula Pasir,01/03/2018,""12,650"""
